state,title,text,link
Alabama,5 Strong Scholarship,"Applicants must be a promising student leader that's a graduating high school senior, have a minimum 2.8 GPA and a minimum ACT: 19/ SAT: 980 (verbal and math only). Applicants must reside in the Metro Atlanta Area (9 Counties surrounding Atlanta) and must commit to attend all of the 5 Strong College Prep sessions (bi-monthly). Applicants must also be very interested in attending a Historically Black College or University. For more information or to apply, please visit the scholarship provider's website: 5strongscholars.org
ADVERTISEMENT",https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/school-attendance-state/alabama/5-strong-scholarship
Alabama,JSU Alabama Moersch Scholarship,"The Moersch Scholarship was established in honor of Dr. Robert and Ms. Eloise Moersch by family and friends for the benefit of a deserving upper-level student majoring in finance or economics. For more information or to apply, please visit the scholarship provider's website.
ADVERTISEMENT",https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/school-attendance-state/alabama/jsu-alabama-moersch-scholarship
Alabama,JSU Alabama Montgomery Scholarship,"Established in honor of Dr. Theron E. Montgomery, President Emeritus of JSU, for the benefit of deserving students with preference to those who have a sensory impairment. For more information or to apply, please visit the scholarship provider's website.
ADVERTISEMENT",https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/school-attendance-state/alabama/jsu-alabama-montgomery-scholarship
Alabama,JSU Alabama Power Scholarship,"The JSU Alabama Alabama Power Scholarship is open to Alabama residents who plan to attend Jacksonville State University. Applicants must major in a business-related area. For more information or to apply, please visit the scholarship provider's website.
ADVERTISEMENT",https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/school-attendance-state/alabama/jsu-alabama-power-scholarship
Alabama,JSU Drama Scholarship,"JSU offers drama scholarships to full-time theater majors. Eligible criteria include: contributing (either on or back stage) to each production during the term; attending all department work calls, strikes and tech prep days; have a maximum of three absences in drama-related major courses; and, have a 2.5 GPA per term, 2.5 overall, and 3.0 in drama courses. For more information or to apply, please visit the scholarship provider's website.
ADVERTISEMENT",https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/school-attendance-state/alabama/jsu-drama-scholarship
Alabama,JSU Gadsden Music Company Scholarship,"The JSU Gadsden Music Company Scholarship was established for the benefit of a child or grandchild of a former Marching Southerner wind or percussion player. The recipient shall be a fourth year wind or percussion member of the Marching Southerners. For more information or to apply, please visit the scholarship provider's website.
ADVERTISEMENT",https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/school-attendance-state/alabama/jsu-gadsden-music-company-scholarship
Alabama,JSU Julian Jenkins Scholarship,"The JSU Julian Jenkins Scholarship was established for a sophomore student or above with a designated major in art, who has demonstrated, in the opinion of the art faculty, exceptional creative ability and dedication to the arts.
ADVERTISEMENT
For more information on this award, please visit our website.",https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/school-attendance-state/alabama/jsu-julian-jenkins-scholarship
Alabama,JSU Opal R. & Opal A. Lovett Scholarship,"The JSU Opal R. & Opal A. Lovett Scholarship is awarded to a deserving student majoring in history, english, or art who has achieved sophomore or above status. For more information or to apply, please visit the scholarship provider's website.
ADVERTISEMENT",https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/school-attendance-state/alabama/jsu-opal-r-and-opal-a-lovett-scholarship
Alabama,Korean American Scholarship Foundation-Southern Regional Chapter,"To be eligible for the Korean American Scholarship Foundation-Southern Regional Chapter, applicants must be of Korean ancestry (or a foreign student from Korea), demonstrate financial need, have a 3.0 GPA, and be a full time student at a school in one of the designated Southern region states (Alabama, Florida, Georgia, South Carolina, and Tennessee) during the upcoming school year. For more information or to apply, please visit the scholarship provider's website.
ADVERTISEMENT",https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/school-attendance-state/alabama/korean-american-scholarship-foundation-southern-regional-chapter
Alabama,Lady Legacy Scholarship,"The Lady Legacy Scholarship is for a senior high school female who is a resident of the counties of Blount, Jefferson, Shelby, St. Clair, Walker or Tuscaloosa in Alabama, and has an interest in golf. Applicant must be a graduate of an accredited secondary school, have a minimum ACT score of 22, demonstrate financial need and plan to enroll as a full-time student in a four-year Alabama college or university accredited by the Southern Association of Colleges. The recipient must maintain at least a C+ (2.4 out of 4) her freshman year and a B- (2.8 out of 4) thereafter. For more information or to apply, please visit the scholarship provider's website.
ADVERTISEMENT",https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/school-attendance-state/alabama/lady-legacy-scholarship
